study_id,item_id,item_filename,item_cdn_url,participant_id,participant_external_id,participant_display_name,participant_tags,participant_quality_grade,participant_quality_grade_item,test_item_display_order,exposure_number,fixation_point_x,fixation_point_y,fixation_starts_at_ms,fixation_ends_at_ms,fixation_duration_ms,saccade_amplitude_percent,external_data_fbclid,notes
d4d6fdec-9f80-41bc-a81c-d1f322ab3a1e,32062453-818a-44f3-acac-1e8d66588646,Squats_20.mp4,https://d48dl6cezsco5.cloudfront.net/experiments/experiment_d4d6fdec-9f80-41bc-a81c-d1f322ab3a1e/project_lg_32062453-818a-44f3-acac-1e8d66588646.jpg?v=15.35.4,1d3a9087-9282-4d18-af02-f721758c497d,,"P0102, Male",,3,3,1,1,65.755208333333,-6.4814814814815,224,306,82,36.522554371346,IwAR3mmnJDBFtVAGgp-dCh04amN_VnzZSXXS2XSbx7Qdv51zCJ9OfApBe-DgU,"RealEye v15.35.4; FixationFilterSettings [gazePointInterpolationHz = 30; gazePointInterpolationMaxGapMs = 50; gazeVelocityThreshold = 150; minFixationDurationMs = 80; maxFixationDurationMs = 400; movingMediaRangeMs = 200; saccadeMaxDurationMs = 150]; TestCriteria [;isGenderMale=true;isGenderFemale=true;isGenderOther=true;isGenderNotSpecified=true;exposureNumber=1;qualityMin=1;qualityMax=6;exposureNumber=1;isParticipantTypeRealEye=true;isParticipantTypeNonRealEye=true;isDeviceDesktop=true;isDeviceSmartphone=true;isDeviceTablet=true;isSetupLocal=true;isSetupMouse=true;isSetupOpengaze=true]; 2024-03-03T15:46:43+00:00"
d4d6fdec-9f80-41bc-a81c-d1f322ab3a1e,32062453-818a-44f3-acac-1e8d66588646,Squats_20.mp4,https://d48dl6cezsco5.cloudfront.net/experiments/experiment_d4d6fdec-9f80-41bc-a81c-d1f322ab3a1e/project_lg_32062453-818a-44f3-acac-1e8d66588646.jpg?v=15.35.4,1d3a9087-9282-4d18-af02-f721758c497d,,"P0102, Male",,3,3,1,1,95.467122395833,46.050347222222,372,472,100,46.214189069314,IwAR3mmnJDBFtVAGgp-dCh04amN_VnzZSXXS2XSbx7Qdv51zCJ9OfApBe-DgU,
d4d6fdec-9f80-41bc-a81c-d1f322ab3a1e,32062453-818a-44f3-acac-1e8d66588646,Squats_20.mp4,https://d48dl6cezsco5.cloudfront.net/experiments/experiment_d4d6fdec-9f80-41bc-a81c-d1f322ab3a1e/project_lg_32062453-818a-44f3-acac-1e8d66588646.jpg?v=15.35.4,1d3a9087-9282-4d18-af02-f721758c497d,,"P0102, Male",,3,3,1,1,148.046875,33.877314814815,531,642,111,72.004954404759,IwAR3mmnJDBFtVAGgp-dCh04amN_VnzZSXXS2XSbx7Qdv51zCJ9OfApBe-DgU,
d4d6fdec-9f80-41bc-a81c-d1f322ab3a1e,32062453-818a-44f3-acac-1e8d66588646,Squats_20.mp4,https://d48dl6cezsco5.cloudfront.net/experiments/experiment_d4d6fdec-9f80-41bc-a81c-d1f322ab3a1e/project_lg_32062453-818a-44f3-acac-1e8d66588646.jpg?v=15.35.4,1d3a9087-9282-4d18-af02-f721758c497d,,"P0102, Male",,3,3,1,1,65.462320495105,37.84481095679,674,872,198,12.946178821253,IwAR3mmnJDBFtVAGgp-dCh04amN_VnzZSXXS2XSbx7Qdv51zCJ9OfApBe-DgU,
d4d6fdec-9f80-41bc-a81c-d1f322ab3a1e,32062453-818a-44f3-acac-1e8d66588646,Squats_20.mp4,https://d48dl6cezsco5.cloudfront.net/experiments/experiment_d4d6fdec-9f80-41bc-a81c-d1f322ab3a1e/project_lg_32062453-818a-44f3-acac-1e8d66588646.jpg?v=15.35.4,1d3a9087-9282-4d18-af02-f721758c497d,,"P0102, Male",,3,3,1,1,60.146052704618,62.50225242536,998,1388,390,42.032387743266,IwAR3mmnJDBFtVAGgp-dCh04amN_VnzZSXXS2XSbx7Qdv51zCJ9OfApBe-DgU,
d4d6fdec-9f80-41bc-a81c-d1f322ab3a1e,32062453-818a-44f3-acac-1e8d66588646,Squats_20.mp4,https://d48dl6cezsco5.cloudfront.net/experiments/experiment_d4d6fdec-9f80-41bc-a81c-d1f322ab3a1e/project_lg_32062453-818a-44f3-acac-1e8d66588646.jpg?v=15.35.4,1d3a9087-9282-4d18-af02-f721758c497d,,"P0102, Male",,3,3,1,1,15.958307779942,28.159994587305,1514,1912,398,4.8307107972681,IwAR3mmnJDBFtVAGgp-dCh04amN_VnzZSXXS2XSbx7Qdv51zCJ9OfApBe-DgU,
d4d6fdec-9f80-41bc-a81c-d1f322ab3a1e,32062453-818a-44f3-acac-1e8d66588646,Squats_20.mp4,https://d48dl6cezsco5.cloudfront.net/experiments/experiment_d4d6fdec-9f80-41bc-a81c-d1f322ab3a1e/project_lg_32062453-818a-44f3-acac-1e8d66588646.jpg?v=15.35.4,1d3a9087-9282-4d18-af02-f721758c497d,,"P0102, Male",,3,3,1,1,21.068269062818,31.976070248984,1934,2312,378,5.9652572626875,IwAR3mmnJDBFtVAGgp-dCh04amN_VnzZSXXS2XSbx7Qdv51zCJ9OfApBe-DgU,
d4d6fdec-9f80-41bc-a81c-d1f322ab3a1e,32062453-818a-44f3-acac-1e8d66588646,Squats_20.mp4,https://d48dl6cezsco5.cloudfront.net/experiments/experiment_d4d6fdec-9f80-41bc-a81c-d1f322ab3a1e/project_lg_32062453-818a-44f3-acac-1e8d66588646.jpg?v=15.35.4,1d3a9087-9282-4d18-af02-f721758c497d,,"P0102, Male",,3,3,1,1,23.3203125,20.486111111111,2338,2545,207,10.717563173208,IwAR3mmnJDBFtVAGgp-dCh04amN_VnzZSXXS2XSbx7Qdv51zCJ9OfApBe-DgU,
d4d6fdec-9f80-41bc-a81c-d1f322ab3a1e,32062453-818a-44f3-acac-1e8d66588646,Squats_20.mp4,https://d48dl6cezsco5.cloudfront.net/experiments/experiment_d4d6fdec-9f80-41bc-a81c-d1f322ab3a1e/project_lg_32062453-818a-44f3-acac-1e8d66588646.jpg?v=15.35.4,1d3a9087-9282-4d18-af02-f721758c497d,,"P0102, Male",,3,3,1,1,33.034261067708,33.890335648148,2578,2740,162,,IwAR3mmnJDBFtVAGgp-dCh04amN_VnzZSXXS2XSbx7Qdv51zCJ9OfApBe-DgU,
d4d6fdec-9f80-41bc-a81c-d1f322ab3a1e,32062453-818a-44f3-acac-1e8d66588646,Squats_20.mp4,https://d48dl6cezsco5.cloudfront.net/experiments/experiment_d4d6fdec-9f80-41bc-a81c-d1f322ab3a1e/project_lg_32062453-818a-44f3-acac-1e8d66588646.jpg?v=15.35.4,1d3a9087-9282-4d18-af02-f721758c497d,,"P0102, Male",,3,3,1,1,85.722450037707,59.286841517234,3021,3420,399,12.497369933204,IwAR3mmnJDBFtVAGgp-dCh04amN_VnzZSXXS2XSbx7Qdv51zCJ9OfApBe-DgU,
